Entity;Description;Category;Tags;Dimension;Acronym;Importance;Synonyms
energy and health;Summary of energy and health;Crisis;"Health; Energy";Social;;3.0;energy inequality
energy safety nets;Summary of energy safety nets;Policy;"Energy; Safety; Social";Social;;2.0;
energy tax incentives;Summary of energy tax incentives;Policy;"Energy; Tax; Incentives";Economic;;2.0;"energy storage incentive programs; government incentives"
energy poverty indices;Summary of energy poverty indices;Policy;"Energy; Poverty; Indices";Social;;3.0;"energy poverty; energy import policies"
Solar For Health;Summary of Solar For Health;Technology;"Solar; Health";Social;;4.0;
Africa Minigrids Project;Summary of Africa Minigrids Project;Project;"Africa; Minigrids; Energy";Infrastructure;;4.0;
Action Opportunities;Summary of Action Opportunities;Strategy;"Action; Opportunities";Social;;3.0;livelihood opportunities
COP28 Targets;Summary of COP28 Targets;Policy;"COP28; Targets";Social;;3.0;
public-private partnerships;Summary of public-private partnerships;Organization;"Public-Private; Partnerships";Economic;;2.0;public-private partnership
SDG7 targets;Summary of SDG7 targets;Policy;"SDG7; Targets";Social;;3.0;
climate finance mechanisms;Climate finance mechanisms refer to the various financial instruments and mechanisms that are used to mobilize and allocate funds for climate change mitigation and adaptation projects.;Finance;"Climate Change; Funding; Investment";Economic;;3.0;"climate finance programs; climate finance"
energy democracy;Energy democracy is a concept that promotes the democratization of energy systems, giving communities and individuals more control over the production, distribution, and consumption of energy.;Social;"Community; Participation; Decentralization";Social;;2.0;"energy security; energy demand"
green bonds;Green bonds are fixed-income financial instruments that are used to raise capital for projects that have positive environmental or climate benefits.;Finance;"Sustainable Finance; Investment; Environmental Projects";Economic;;3.0;
energy justice;Energy justice is a concept that focuses on ensuring fair and equitable access to affordable, reliable, and clean energy for all, particularly marginalized and vulnerable communities.;Social;"Equity; Access; Inclusion";Social;;4.0;
renewable energy certificates;Renewable energy certificates, also known as green certificates or tradable renewable certificates, are proof that a certain amount of electricity has been generated from renewable sources.;Technology;"Renewable Energy; Certification; Market";Technology;;3.0;"renewable energy integration; renewable energy workforce; renewable energy startups; renewable energy cooperatives; energy certificates; renewable energy portfolio"
green job creation;Green job creation refers to the process of generating employment opportunities in sectors that contribute to environmental sustainability, such as renewable energy, energy efficiency, and waste management.;Economic;"Employment; Sustainability; Green Economy";Economic;;3.0;
resilient infrastructure;Resilient infrastructure refers to the design and construction of infrastructure systems that can withstand and recover quickly from natural disasters, climate change impacts, and other shocks and stresses.;Infrastructure;"Resilience; Adaptation; Disaster Risk Reduction";Infrastructure;;4.0;"infrastructure; charging infrastructure; hydrogen infrastructure; green infrastructure"
participatory governance;Participatory governance is an approach to decision-making and policy development that involves the active participation of citizens and stakeholders in the processes of governance.;Policy;"Citizen Engagement; Collaboration; Transparency";Social;;2.0;
energy diplomacy;Energy diplomacy refers to the diplomatic efforts and negotiations related to energy resources, energy security, and energy cooperation between countries and international organizations.;Policy;"International Relations; Energy Security; Cooperation";Social;;3.0;energy policy
climate resilience funds;Climate resilience funds are financial mechanisms that provide funding for projects and initiatives aimed at enhancing the resilience of communities, ecosystems, and infrastructure to climate change impacts.;Finance;"Resilience; Adaptation; Climate Change";Economic;;3.0;"climate resilience; climate resilience fund; climate resilience index"
green buildings;Buildings that are designed and constructed to have a minimal impact on the environment.;Infrastructure;"Sustainable Buildings; Energy Efficiency";Technology;;3.0;resilience building
climate adaptation strategies;Strategies and actions taken to adapt to the impacts of climate change.;Policy;"Climate Resilience; Adaptation Measures";Social;;4.0;climate adaptation
energy entrepreneurship;Entrepreneurship focused on sustainable energy solutions and innovations.;Economic;"Clean Energy Startups; Renewable Energy Business";Technology;;3.0;"entrepreneurship; women entrepreneurs"
energy poverty alleviation;Efforts to address and alleviate energy poverty in underserved communities.;Social;"Energy Access; Energy Equity";Policy;;4.0;
The UNDP SIDS Offer;;;;;;;
Energy For Development;;;;;;;
The UNDP Sustainable Energy Hub;;;;;;;
carbon offset programs;Programs that allow individuals or organizations to compensate for their carbon emissions by investing in projects that reduce or remove greenhouse gas emissions.;Policy;"Climate Change Mitigation; Carbon Offsetting";Social;;3.0;carbon offsetting programs
energy data analytics;The analysis of energy data to gain insights and inform decision-making in the energy sector.;Technology;"Data-driven Insights; Energy Efficiency";Technology;;3.0;"energy data management; energy market analysis; data analytics; energy analysts"
energy cooperatives;Cooperatives that enable individuals or communities to collectively own and manage energy resources.;Organization;"Community Ownership; Renewable Energy";Social;;3.0;"energy conservation; energy experts; energy companies"
energy access for informal settlements;Summary of energy access for informal settlements.;Infrastructure;"Social; Economic; Intersectionality";Policy;;3.0;
community-based energy resilience programs;Summary of community-based energy resilience programs.;Project;"Social; Economic; Intersectionality";Technology;;3.0;"community-based climate resilience projects; community-based energy planning"
gender-sensitive electrification planning;Summary of gender-sensitive electrification planning.;Policy;"Social; Economic; Intersectionality";Technology;;3.0;
energy in crisis settings;Summary of energy in crisis settings.;Crisis;"Social; Economic; Intersectionality";Policy;;3.0;
smart energy contracts;Summary of smart energy contracts.;Technology;"Social; Economic; Intersectionality";Technology;;3.0;smart contracts
remote sensing;Summary of remote sensing.;Technology;"Social; Economic; Intersectionality";Technology;;3.0;
smart metering technologies;Summary of smart metering technologies.;Technology;"Social; Economic; Intersectionality";Technology;;3.0;"smart grid technology; battery technologies; smart metering technology"
blockchain for energy trading;Summary of blockchain for energy trading.;Technology;"Social; Economic; Intersectionality";Technology;;3.0;
mobile payment systems;Summary of mobile payment systems.;Technology;"Social; Economic; Intersectionality";Technology;;3.0;
blended finance mechanisms;Summary of blended finance mechanisms.;Finance;"Social; Economic; Intersectionality";Policy;;3.0;
sovereign wealth funds;Funds owned by a state and invested in various financial assets.;Finance;"Economic; Finance";Economic;;3.0;
innovative financing;New and creative ways of raising funds for projects or initiatives.;Finance;"Economic; Finance";Economic;;3.0;
debt-for-nature swaps;Agreements where a portion of a developing country's debt is forgiven in exchange for nature conservation efforts.;Policy;"Policy; Economic; Finance";Economic;;2.0;
risk insurance products;Insurance products designed to protect against various risks in the energy sector.;Finance;"Economic; Finance";Economic;;3.0;
peer-to-peer lending platforms;Online platforms that connect borrowers and lenders directly.;Finance;"Economic; Finance";Economic;;3.0;
energy market liberalization policits;;;;;;;
transparency and accountability mechanisms;Mechanisms and practices that promote transparency and accountability in the energy sector.;Policy;"Policy; Social";Social;;2.0;
nationally determined contributions;Commitments made by countries under the Paris Agreement to reduce greenhouse gas emissions.;Policy;"Policy; Social";Social;NDCs;4.0;
energy transition roadmaps and plans;Strategic plans and roadmaps for transitioning to a sustainable energy system.;Strategy;"Policy; Technology; Social";Social;;4.0;
energy regulatory frameworks;Legal and institutional frameworks that govern the energy sector.;Policy;"Policy; Social";Social;;3.0;
national digital strategy;A strategy developed by a country to guide its digital transformation and promote the use of digital technologies.;Strategy;"Policy; Technology; Social; Economic";Intersectionality;;3.0;
data governance frameworks;Frameworks that define how data is collected, managed, and used within an organization or across multiple organizations.;Technology;"Policy; Technology; Social; Economic";Intersectionality;;3.0;"data governance principles; data governance"
stakeholder engagement mechanisms;Mechanisms and processes used to involve and collaborate with stakeholders in decision-making and implementation of projects or policies.;Policy;"Policy; Social; Economic";Intersectionality;;2.0;
energy services in displacement settings;Energy services provided in settings where people have been displaced due to conflicts, disasters, or other reasons.;Infrastructure;"Policy; Social; Economic; Crisis";Intersectionality;;3.0;
energy infrastructure services;Services related to the development, maintenance, and operation of energy infrastructure such as power plants, transmission lines, and distribution networks.;Infrastructure;"Policy; Social; Economic; Crisis";Intersectionality;;3.0;energy infrastructure planning
renewable energy in water services;The use of renewable energy sources such as solar, wind, or hydroelectric power in water-related services such as water treatment, desalination, or irrigation.;Technology;"Policy; Technology; Social; Economic";Intersectionality;;3.0;
solar energy;Energy derived from the sun's radiation and converted into usable forms such as electricity or heat.;Technology;"Policy; Technology; Social; Economic";Intersectionality;;4.0;ocean energy
wind energy;Energy generated from the wind through the use of wind turbines to produce electricity.;Technology;"Policy; Technology; Social; Economic";Intersectionality;;4.0;wave energy
bioenergy;Energy derived from biomass, such as organic materials or agricultural residues, through processes like combustion or fermentation.;Technology;"Policy; Technology; Social; Economic";Intersectionality;;3.0;
hydroelectricity;Electricity generated by the force of falling or flowing water, typically from a dam or a river.;Technology;"Policy; Technology; Social; Economic";Intersectionality;;4.0;
geothermal energy;Geothermal energy is heat derived within the sub-surface of the earth. It is a renewable source of energy that can be used for heating, cooling, and electricity generation.;Technology;"Renewable Energy; Geothermal Power; Sustainable Energy";Technology;;4.0;
energy end-use sectors;Energy end-use sectors refer to the different sectors or industries that consume energy for their operations, such as residential, commercial, industrial, and transportation sectors.;Infrastructure;"Energy Consumption; Energy Demand; Energy Efficiency";Infrastructure;;3.0;
project gender markers;Project gender markers are indicators or criteria used to assess the gender responsiveness or impact of a project. They help ensure that projects consider and address gender inequalities and promote gender equality.;Policy;"Gender Equality; Gender Mainstreaming; Project Assessment";Policy;;2.0;
women's economic empowerment;Women's economic empowerment refers to the ability of women to participate and have control over economic activities, resources, and decision-making processes. It aims to promote gender equality and women's rights in the economic sphere.;Social;"Gender Equality; Women's Rights; Economic Empowerment";Social;;4.0;
appropriate and independent oversight;Appropriate and independent oversight refers to the establishment of mechanisms or institutions that ensure accountability, transparency, and effective governance in various sectors, including the energy sector.;Policy;"Accountability; Transparency; Good Governance";Policy;;3.0;
energy forecasting;Energy forecasting is the process of estimating future energy demand, supply, and prices based on various factors such as population growth, economic development, technological advancements, and policy changes.;Technology;"Energy Demand; Energy Supply; Energy Prices";Technology;;3.0;
whole-of-society approach;A whole-of-society approach refers to a collaborative and inclusive approach that involves all sectors of society, including government, civil society, private sector, and individuals, in addressing complex challenges and achieving sustainable development goals.;Strategy;"Collaboration; Inclusivity; Sustainable Development";Strategy;;4.0;
theory of change;A theory of change is a comprehensive and systematic explanation of how and why a desired change is expected to happen. It outlines the causal pathways and assumptions underlying a project or intervention.;Strategy;"Change Management; Impact Assessment; Program Evaluation";Strategy;;3.0;
least cost power development plan;A least cost power development plan is a strategic plan that aims to identify the most cost-effective and efficient mix of power generation technologies and resources to meet the energy demand of a country or region.;Policy;"Power Generation; Energy Planning; Cost Optimization";Policy;;4.0;
open source energy modeling tools;Open source energy modeling tools are software tools that allow users to simulate and analyze energy systems, including energy generation, consumption, and distribution, using open source code and data.;Technology;"Energy Modeling; Simulation; Data Analysis";Technology;;3.0;
energy scenario analysis;Analysis of different scenarios related to energy;Policy;"Energy; Scenario; Analysis";Technology;;3.0;
climate change scenario analysis;Analysis of different scenarios related to climate change;Policy;"Climate Change; Scenario; Analysis";Technology;;3.0;climate change goals
concentrated solar power;Solar power generation using concentrated sunlight;Technology;"Solar Power; Concentrated; Sunlight";Technology;CSP;4.0;
fossil fuel phase-out;Gradual elimination of fossil fuel usage;Policy;"Fossil Fuel; Phase-out";Technology;;4.0;
disparities in renewables investment;Inequalities in investment in renewable energy;Economic;"Renewable Energy; Investment; Disparities";Finance;;2.0;
environmental impact assessments;Assessments of the environmental impact of projects;Policy;"Environmental Impact; Assessments";Technology;;3.0;"environmental impact; environmental impact assessment process; environmental assessment"
monitoring and evaluation frameworks;Frameworks for monitoring and evaluating projects;Policy;"Monitoring; Evaluation; Frameworks";Technology;;3.0;
land use planning;Planning and management of land use;Policy;"Land Use; Planning";Infrastructure;;2.0;
benefit-sharing agreements;Agreements for sharing benefits from projects;Policy;"Benefit-sharing; Agreements";Social;;2.0;
data sharing agreements;Agreements for sharing data;Policy;"Data Sharing; Agreements";Technology;;2.0;"climate change agreements; data sharing platforms"
energy data repositories;Repositories that store and manage energy-related data.;Technology;"Data; Energy; Repositories";Technology;;3.0;energy data platform
data privacy and security;Protection of data from unauthorized access and ensuring its confidentiality and integrity.;Technology;"Data; Privacy; Security";Technology;;3.0;
Renewable energy for sustainable tourism;The use of renewable energy sources to power sustainable tourism activities.;Technology;"Renewable Energy; Sustainable Tourism";Technology;;4.0;
technology transfer;The process of transferring knowledge, skills, and technology from one entity to another.;Technology;"Technology; Transfer";Technology;;2.0;technology transfer programs
intergenerational equity;The principle of fairness and justice between generations, ensuring that the needs of future generations are considered.;Social;"Intergenerational Equity; Fairness; Justice";Social;;3.0;intergenerational justice
indigenous land rights;The rights of indigenous communities to own, use, and manage their traditional lands.;Social;"Indigenous; Land Rights";Social;;4.0;indigenous rights
free prior and informed consent;The principle that requires the consent of indigenous communities before any decision or action is taken that may affect their rights or lands.;Social;"Free Prior and Informed Consent; Indigenous; Consent";Social;;4.0;
traditional ecological knowledge;The knowledge, practices, and beliefs of indigenous communities regarding the environment and natural resources.;Social;"Traditional Ecological Knowledge; Indigenous; Environment";Social;;3.0;traditional knowledge
critical minerals;Minerals that are essential for various industries and have a high economic and strategic value.;Economic;"Critical Minerals; Minerals; Economic";Economic;;3.0;
indigenous energy sovereignty;The right of indigenous communities to have control over their energy resources and systems.;Social;"Indigenous; Energy Sovereignty";Social;;4.0;
cultural impact assessments;Assessments that evaluate the cultural impact of a project or development on a community or society.;Policy;"Social; Intersectionality";Social;;3.0;cultural impact
land stewardship agerements;;;;;;;land stewardship
traditional energy technologies;Technologies that have been used for energy generation and distribution for a long time.;Technology;"Social; Economic";Technology;;2.0;"clean energy technologies; bioenergy technology"
indigenous energy mapping;Mapping and analysis of energy resources and infrastructure in indigenous communities.;Technology;"Social; Economic; Intersectionality";Technology;;3.0;
power-to-gas systems;Systems that convert electrical power into a gas fuel, such as hydrogen or methane.;Technology;"Technology; Economic";Technology;;3.0;
energy transport systems;Systems and infrastructure for transporting energy from generation sources to end users.;Infrastructure;"Technology; Economic";Technology;;3.0;energy management systems
battery storage;Storage systems that store electrical energy in batteries for later use.;Technology;"Technology; Economic";Technology;;3.0;battery performance
carbon-netural fuel;;;;;;;
pumped hydro storage;A type of energy storage that uses the gravitational potential energy of water to store and release energy.;Technology;"Technology; Economic";Technology;;3.0;
hybrid energy storage systems;Systems that combine multiple energy storage technologies to optimize energy storage and release.;Technology;"Technology; Economic";Technology;;3.0;energy storage systems
resilient energy storage systems;Resilient energy storage systems are systems that can store energy and withstand disruptions or failures.;Technology;"Energy Storage; Resilience";Technology;;3.0;resilient energy systems
biochar;Biochar is a type of charcoal produced from biomass that is used as a soil amendment.;Product;"Biomass; Soil Amendment";Technology;;2.0;
biomass;Biomass refers to organic matter, such as plants or plant-based materials, that can be used as a renewable energy source.;Technology;"Renewable Energy; Organic Matter";Technology;;3.0;
biodigestion;Biodigestion is the process of breaking down organic materials, such as food waste or agricultural residues, to produce biogas.;Technology;"Organic Waste; Biogas";Technology;;2.0;anaerobic digestion
biofuels;Biofuels are fuels produced from biomass, such as ethanol or biodiesel, that can be used as alternatives to fossil fuels.;Technology;"Renewable Energy; Transportation";Technology;;3.0;
energy demand from urbanization;Energy demand from urbanization refers to the increasing energy needs of urban areas due to population growth and urban development.;Infrastructure;"Urbanization; Energy Demand";Social;;4.0;
cogeneration;Cogeneration, also known as combined heat and power (CHP), is the simultaneous production of electricity and useful heat from the same energy source.;Technology;"Energy Efficiency; Heat and Power";Technology;;3.0;power generation
electrolysis;Electrolysis is a chemical process that uses an electric current to drive a non-spontaneous chemical reaction, such as the splitting of water into hydrogen and oxygen.;Technology;"Chemical Process; Hydrogen Production";Technology;;2.0;
foundational energy infrastructure;Foundational energy infrastructure refers to the essential physical structures and systems that support the production, distribution, and consumption of energy.;Infrastructure;"Energy Systems; Infrastructure";Infrastructure;;4.0;renewable energy infrastructure
enhanced energy recovery;Enhanced energy recovery refers to technologies or processes that increase the efficiency of energy recovery from waste or other sources.;Technology;"Energy Efficiency; Waste Management";Technology;;3.0;
carbon capture and storage;Carbon capture and storage (CCS) is a technology that captures carbon dioxide (CO2) emissions from sources such as power plants and stores it underground to prevent it from entering the atmosphere.;Technology;"Climate Change; Emissions Reduction; Carbon Sequestration";Technology;CCS;4.0;
gas hydrates;Gas hydrates are ice-like crystalline structures that form when natural gas combines with water under specific temperature and pressure conditions.;Technology;"Natural Gas; Methane; Energy Resource";Technology;;3.0;
gasification;Gasification is a process that converts carbon-based materials, such as coal or biomass, into synthesis gas (syngas) which can be used for power generation or as a chemical feedstock.;Technology;"Syngas; Biomass; Coal";Technology;;3.0;gasification plants
gas turbine;A gas turbine is a type of internal combustion engine that converts the energy from the combustion of a fuel, such as natural gas or liquid fuels, into mechanical energy.;Technology;"Power Generation; Energy Efficiency; Combustion";Technology;;3.0;
heating and cooling;Heating and cooling systems are technologies used to control the temperature and humidity of indoor spaces for comfort and energy efficiency.;Technology;"HVAC; Energy Efficiency; Thermal Comfort";Technology;;2.0;
liquefied natural gas;Liquefied natural gas (LNG) is natural gas that has been cooled to a liquid state for easier storage and transportation.;Technology;"Natural Gas; Energy Storage; Transportation";Technology;LNG;3.0;
tidal power;Tidal power is a form of hydropower that converts the energy from the tides into electricity.;Technology;"Renewable Energy; Tidal Energy; Ocean Power";Technology;;3.0;
battery recycling;Battery recycling is the process of reusing or extracting valuable materials from used batteries to reduce waste and environmental impact.;Technology;"Waste Management; Circular Economy; Resource Recovery";Technology;;2.0;battery recycling program
Load forecasting and demand-side management;Load forecasting and demand-side management are strategies used to predict and manage electricity demand in order to optimize energy generation and consumption.;Strategy;"Energy Management; Demand Response; Smart Grid";Strategy;;3.0;
integrated resource planning;Integrated resource planning is a process that helps utilities and energy providers make informed decisions about the mix of energy resources and technologies to meet future energy demand.;Strategy;"Energy Planning; Resource Optimization; Energy Transition";Strategy;IRP;4.0;
multilateral development banks;Organizations that provide financial support and expertise for development projects in multiple countries.;Organization;"Finance; Economic; Infrastructure";Policy;;3.0;"national development plans; development banks"
